cod_proced,descricao
0401010023,Curativo grau I c/ ou s/ debridamento
0401010031,Drenagem de abcesso
0401010040,Eletrocoagulação de lesão cutânea
0401010058,Excisão de lesão e/ou sutura de ferim. pele/anexos e mucosa
0401010066,Excisão e/ou sutura simples peq. lesões/ferim. de pele/anexos e mucosa
0401010074,Exérese de tumor de pele e anexos/cisto sebáceo/lipoma
0401010082,Frenéctomia/frenotomia
0401010090,Fulguração / cauterização química de lesões cutâneas
0401010104,Incisão e drenagem de abcesso
0401010112,Retirada de corpo estranho subcutâneo
0404010075,Drenagem de furúnculo no conduto auditivo externo
0404010156,Infiltração medicamentosa em corneto inferior
0404010270,Remoção de cerúmen de conduto auditivo externo uni/bilateral
0404010300,Retirada de corpo estranho da cavidade auditiva e nasal
0404010318,Retirada de corpo estranho de ouvido/faringe/laringe/nariz
0404010342,Tamponamento nasal anterior e/ou posterior
0407010254,Retirada de pólipo do tubo digestivo por endoscopia
0407040196,Paracentese abdominal
0408010126,Redução incruenta fratura/luxação ao nível da cintura escapular
0408010134,Redução incruenta de luxação/fratura escapulo umeral
0408020164,Redução incruenta de fratura/lesão fisária extremo prox. úmero
0408020172,Redução incruenta de fratura/lesão fisária no punho
0408020180,Redução incruenta de fratura/luxação de Monteggia/Galeazzi
0408020199,Redução incruenta de fratura diáfise do úmero
0408020202,Redução incruenta de fratura diafisária ossos antebraço
0408020210,Redução incruenta de fratura dos metacarpianos
0408020217,Redução incruenta de fratura/luxação do tornozelo
0408020229,Redução incruenta de luxação/fratura do cotovelo
0408020245,Redução incruenta de luxação ou fratura do punho
0408040351,Trat. articulação coxo-femoral c/ imobilização gessada
0408050195,Redução incruenta luxação/fratura metatarso-falange/interfalange
0408050209,Redução incruenta de fratura lesão fisária metatarsianos
0408050217,Redução incruenta de fratura/luxação do tornozelo
0408050225,Redução incruenta de fratura diafisária/lesão fisária distal tíbia
0408050241,Redução incruenta de fratura dos ossos do tarso
0408050250,Redução incruenta de fratura/lesão fisária do joelho
0408050268,Redução incruenta de luxação/fratura do joelho
0408050276,Redução incruenta de luxação femoropatelar
0408050292,Redução incruenta de luxação ou fratura tarsometatársica
0408060352,Retirada de fio ou pino intra-osseo
0408060654,Tratamento cirúrgico de polidactilia não articulada
0409010359,Punção / aspiração da bexiga
0409060097,Exérese de pólipo de útero
0409070122,Drenagem de glândula de Bartholin/Skene
0409070173,Extração de corpo estranho da vagina
0412030020,Drenagem de pleura
0412050170,Toracocentese/drenagem de pleura
0413010023,Atend. de urgência em pequeno queimado
0414020073,Curetagem periapical
0414020120,Exodontia de dente decíduo
0414020138,Exodontia de dente permanente
0414020200,Marsupialização de cistos e pseudocistos
0414020219,Odontosecção / radicectomia / tunelização
0414020278,Remoção de dente retido (incluso / impactado)
0414020367,Tratamento cirúrgico para tracionamento dental
0415040043,Debridamento de úlcera/necrose
0417010052,Anestesia regional
0417010060,Sedação
0701050012,Bolsa de colostomia fechada com adesivo microporoso
0701050020,Bolsa de colostomia com adesivo microporoso drenável
0701050047,Conjunto de placa e bolsa para estoma intestinal
0701060026,Bolsa coletora p/ urostomizados
0701060042,Conjunto de placa e bolsa para urostomizados
0701070056,Coroa provisória
0701070099,Prótese parcial mandibular removível
0701070102,Prótese parcial maxilar removível
0701070110,Prótese temporária
0701070129,Prótese Total Mandibular
0701070137,Prótese Total Maxilar
0803010109,Unid. de remuneração p/ deslocamento de acompanhante por transp. terrestre (cada 50 km de distância)
0803010125,Unid. de remuneração p/ deslocamento de paciente por transp. terrestre (cada 50km)
0102010153,Investigação de eventos adversos e/ou queixas técnicas
0101050011,Consulta de profissional de nível superior na atenção básica (exceto médico)
0202020215,Dosagem de glicose
0202030563,Pesquisa de Bacilo Álcool-Ácido Resistente (BAAR) - direto
0202030580,Pesquisa de fungos
0202030954,Pesquisa e identificação de microorganismos
0202031446,Cultura para fungos
0202031470,Cultura para micobactérias
0202031500,Cultura para outros microorganismos
0202031535,Antibiograma
0202050041,Teste rápido para diagnóstico de doenças infecciosas
0202060314,Determinação de anticorpos específicos (imunologia)
0202090132,Exame anatomopatológico de biópsia de tecidos
0204030161,Ultrassonografia de abdômen total
0205010059,Endoscopia digestiva alta diagnóstica
0205020151,Colonoscopia diagnóstica
0211050113,Biópsia de linfonodo
0214010210,Radiografia periapical
0214010228,Radiografia interproximal (Bite-Wing)
0214010236,Radiografia oclusal
0214010244,Série radiográfica periapical completa
0214010279,Radiografia panorâmica dos maxilares
0214010287,Telerradiografia em norma lateral
0214010295,Tomografia computadorizada de face/seios paranasais
0214010309,Análise cefalométrica
0301010056,Consulta médica em atenção especializada
0301030197,Consulta de pré-natal (risco habitual)
0301050058,Consulta/atendimento em saúde mental
0301080178,Atendimento de urgência com observação até 24 horas
0301100195,Teleatendimento/teleconsulta
0302040048,Tratamento de transtornos mentais em regime de atenção diária
0303010240,Curativo grau II com ou sem desbridamento
0306020041,Terapia nutricional enteral
0409060089,Cirurgia ambulatorial odontológica sob anestesia geral
